customer_id,imsi,msisdn,date,billing_type,service_type,direction,subcategory,category,balance,charged,consumed_data,consumed_onn_calls,consumed_ofn_calls,call_duration,sms_request,consumed_request
308,536030200032465,6748880001,2025-01-25,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
538,536030200032434,6748880811,2025-01-25,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
539,536030200032435,6748880812,2025-01-25,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.06666666666666667,0,0
539,536030200032435,6748880812,2025-01-26,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
315,536030200032476,6748880008,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
538,536030200032434,6748880811,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,3.6166666666666667,0,0
539,536030200032435,6748880812,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
545,536030200032441,6748880818,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
546,536030200032442,6748880819,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,1.3833333333333333,0,0
425,536030200032010,6749990037,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.2,0,0
432,536030200032017,6749990044,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.25,0,0
454,536030200048005,6749990066,2025-01-27,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.05,0,0
538,536030200032434,6748880811,2025-01-28,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,7.15,0,0
541,536030200032437,6748880814,2025-01-28,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
538,536030200032434,6748880811,2025-01-29,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,4.566666666666666,0,0
539,536030200032435,6748880812,2025-01-29,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,2.066666666666667,0,0
540,536030200032436,6748880813,2025-01-29,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,1.1833333333333333,0,0
546,536030200032442,6748880819,2025-01-29,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,1.4833333333333334,0,0
2606,536030200045125,6748880880,2025-01-29,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.31666666666666665,0,0
432,536030200032017,6749990044,2025-01-29,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.9333333333333333,0,0
244,536030200030004,6749990302,2025-01-29,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
538,536030200032434,6748880811,2025-01-30,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,3.0833333333333335,0,0
546,536030200032442,6748880819,2025-01-30,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
425,536030200032010,6749990037,2025-01-30,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
438,536030200032023,6749990050,2025-01-30,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.6333333333333333,0,0
538,536030200032434,6748880811,2025-01-31,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
425,536030200032010,6749990037,2025-01-31,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
538,536030200032434,6748880811,2025-02-02,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
538,536030200032434,6748880811,2025-02-04,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.08333333333333333,0,0
425,536030200032010,6749990037,2025-02-04,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
538,536030200032434,6748880811,2025-02-06,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,1.2166666666666666,0,0
539,536030200032435,6748880812,2025-02-06,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,0.0,0,0
538,536030200032434,6748880811,2025-02-07,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,1.35,0,0
539,536030200032435,6748880812,2025-02-07,postpaid,call,outgoing,onnet,cug,0,0,0,0,0,2.3333333333333335,0,0
5,536030200032494,6749990000,2025-01-25,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
459,536030200045010,6749990071,2025-01-25,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-01-29,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-01-30,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-02-03,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.8333333333333334,0,0
420,536030200032005,6749990032,2025-02-03,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-02-04,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.21666666666666667,0,0
5,536030200032494,6749990000,2025-02-05,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.15,0,0
431,536030200032016,6749990043,2025-02-12,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-02-15,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
4141,536030200016872,6748880902,2025-02-18,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
3552,536030200018015,6748881045,2025-02-18,postpaid,call,outgoing,onnet,international,0,0,0,0,0,9.916666666666666,0,0
3552,536030200018015,6748881045,2025-02-19,postpaid,call,outgoing,onnet,international,0,0,0,0,0,37.95,0,0
5,536030200032494,6749990000,2025-02-19,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.2833333333333333,0,0
3550,536030200018014,6748881044,2025-02-20,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
3552,536030200018015,6748881045,2025-02-20,postpaid,call,outgoing,onnet,international,0,0,0,0,0,8.916666666666666,0,0
5,536030200032494,6749990000,2025-02-20,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.1,0,0
3552,536030200018015,6748881045,2025-02-21,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-02-21,postpaid,call,outgoing,onnet,international,0,0,0,0,0,6.15,0,0
424,536030200030229,6749990036,2025-02-21,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
451,536030200032036,6749990063,2025-02-21,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-02-22,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.13333333333333333,0,0
431,536030200032016,6749990043,2025-02-22,postpaid,call,outgoing,onnet,international,0,0,0,0,0,1.2333333333333334,0,0
459,536030200045010,6749990071,2025-02-22,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
3552,536030200018015,6748881045,2025-02-23,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
459,536030200045010,6749990071,2025-02-23,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
3583,536030200016055,6748880072,2025-02-24,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
4146,536030200016877,6748880907,2025-02-24,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.016666666666666666,0,0
3552,536030200018015,6748881045,2025-02-24,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
3977,536030200016577,6748880594,2025-02-25,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
5,536030200032494,6749990000,2025-02-26,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
548,536030200032392,6748880821,2025-02-27,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
3550,536030200018014,6748881044,2025-02-27,postpaid,call,outgoing,onnet,international,0,0,0,0,0,2.216666666666667,0,0
5,536030200032494,6749990000,2025-02-27,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
3868,536030200016404,6748880421,2025-02-28,postpaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
