customer_id,imsi,msisdn,date,billing_type,service_type,direction,subcategory,category,balance,charged,consumed_data,consumed_onn_calls,consumed_ofn_calls,call_duration,sms_request,consumed_request
562,536030200032453,6748889934,2025-05-19,prepaid,call,outgoing,onnet,cug,0,0,0,0,0,0.38333333333333336,0,0
5625,536030200032371,6749992905,2025-05-19,prepaid,call,outgoing,onnet,cug,0,0,0,0,0,0.016666666666666666,0,0
7701,536030200031040,6749993820,2025-05-19,prepaid,call,outgoing,onnet,cug,0,0,0,0,0,0.65,0,0
745,536030200017185,6749990683,2025-01-26,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
15,536030200032496,6748880000,2025-01-27,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
15,536030200032496,6748880000,2025-01-28,prepaid,call,outgoing,onnet,international,0,0,0,0,0,1.45,0,0
913,536030200017221,6749990719,2025-01-29,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
15,536030200032496,6748880000,2025-01-30,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
227,536030200032483,6749990015,2025-01-30,prepaid,call,outgoing,onnet,international,0,0,0,0,0,1.2833333333333334,0,0
874,536030200017206,6749990704,2025-01-30,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
1087,536030200017395,6749990893,2025-01-30,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
1115,536030200017423,6749990921,2025-01-30,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
2252,536030200019776,6749992276,2025-01-30,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
15,536030200032496,6748880000,2025-01-31,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
227,536030200032483,6749990015,2025-01-31,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
1087,536030200017395,6749990893,2025-01-31,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
1945,536030200019340,6749991840,2025-01-31,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
2351,536030200019875,6749992375,2025-01-31,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
2351,536030200019875,6749992375,2025-02-01,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
1114,536030200017422,6749990920,2025-02-02,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
15,536030200032496,6748880000,2025-02-03,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.016666666666666666,0,0
513,536030200032474,6748889922,2025-02-03,prepaid,call,outgoing,onnet,international,0,0,0,0,0,2.8,0,0
561,536030200032452,6748889933,2025-02-03,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
227,536030200032483,6749990015,2025-02-03,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.0,0,0
15,536030200032496,6748880000,2025-02-04,prepaid,call,outgoing,onnet,international,0,0,0,0,0,2.6333333333333333,0,0
513,536030200032474,6748889922,2025-02-04,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.6333333333333333,0,0
227,536030200032483,6749990015,2025-02-04,prepaid,call,outgoing,onnet,international,0,0,0,0,0,1.95,0,0
227,536030200032483,6749990015,2025-02-05,prepaid,call,outgoing,onnet,international,0,0,0,0,0,0.3333333333333333,0,0
